URL,_id/$oid,address,address line 2,name,outcode,postcode,rating,type_of_food
http://www.just-eat.co.uk/restaurants-cn-chinese-cardiff/menu,55f14312c7447c3da7051b26,228 City Road,Cardiff,.CN Chinese,CF24,3JH,5,Chinese
http://www.just-eat.co.uk/restaurants-atthai-ss9/menu,55f14312c7447c3da7051b27,376 Rayleigh Road,Essex,@ Thai,SS9,5PT,5.5,Thai
http://www.just-eat.co.uk/restaurants-atthairestaurant/menu,55f14312c7447c3da7051b28,30 Greyhound Road Hammersmith,London,@ Thai Restaurant,W6,8NX,4.5,Thai
http://www.just-eat.co.uk/restaurants-atthairestaurant/menu,55f14312c7447c3da7051b29,30 Greyhound Road Hammersmith,London,@ Thai Restaurant,W6,8NX,4.5,Thai
http://www.just-eat.co.uk/restaurants-indiancom-ch4/menu,55f14312c7447c3da7051b2a,9 Broughton Hall Road,Broughton,@Indian.com,CH4,0QR,6,Curry
http://www.just-eat.co.uk/restaurants-007takeaway-s65/menu,55f14312c7447c3da7051b2b,6 Drummond Street,Rotherham,007 Takeaway,S65,1HY,6,Pizza
http://www.just-eat.co.uk/restaurants-042-restaurant-e11/menu,55f14312c7447c3da7051b2c,885 High Road Leytonstone,London,042 Restaurant & Bar,E11,1HR,3,African
http://www.just-eat.co.uk/restaurants-042-restaurant-e11/menu,55f14312c7447c3da7051b2d,885 High Road Leytonstone,London,042 Restaurant & Bar,E11,1HR,3,African
http://www.just-eat.co.uk/restaurants-042-restaurant-e11/menu,55f14312c7447c3da7051b2e,885 High Road Leytonstone,London,042 Restaurant & Bar,E11,1HR,3,African
http://www.just-eat.co.uk/restaurants-1-2-3-chinese-rowlands-gill/menu,55f14312c7447c3da7051b2f,Unit 4 Spencer House,Swalwell,1 2 3 Chinese,NE16,3DS,4.5,Chinese
http://www.just-eat.co.uk/restaurants-1-2-3-chinese-rowlands-gill/menu,55f14312c7447c3da7051b30,Unit 4 Spencer House,Swalwell,1 2 3 Chinese,NE16,3DS,4.5,Chinese
http://www.just-eat.co.uk/restaurants-100-degrees-chinese-restaurant-pontypridd/menu,55f14312c7447c3da7051b31,67 Park Street,Treforest,100 Degrees Chinese Restaurant,CF37,1SN,5,Chinese
http://www.just-eat.co.uk/restaurants-100menu-wn1/menu,55f14312c7447c3da7051b32,50 Wallgate,Wigan,100 Menu,WN1,1JU,5,Chinese
http://www.just-eat.co.uk/restaurants-104-turkish-BBQ/menu,55f14312c7447c3da7051b33,104 Tanners Lane,Essex,104 Turkish BBQ,IG6,1QE,5,Turkish
http://www.just-eat.co.uk/restaurants-109restaurant-w2/menu,55f14312c7447c3da7051b34,109 Westbourne Park Road,London,109 Ristorante,W2,5QL,5,Pizza
http://www.just-eat.co.uk/restaurants-113-fish-bar-wallasey/menu,55f14312c7447c3da7051b35,113 Poulton Road,Merseyside,113 Fish Bar,CH44,9DE,5.5,Chinese
http://www.just-eat.co.uk/restaurants-133-takeaway-irvine/menu,55f14312c7447c3da7051b36,133 Fullarton Street,Irvine,133 Takeaway,KA12,8DG,Not yet rated,Breakfast
http://www.just-eat.co.uk/restaurants-1498thespiceaffair-pe11/menu,55f14312c7447c3da7051b37,Red Lion Hotel,Spalding,1498 The Spice Affair,PE11,1SU,5.5,Curry
http://www.just-eat.co.uk/restaurants-168chinese-ls18/menu,55f14312c7447c3da7051b38,17 Alexandra Road,West Yorkshire,168 Chinese & Cantonese Takeaway,LS18,4HE,5.5,Chinese
http://www.just-eat.co.uk/restaurants-1awok-pa7/menu,55f14312c7447c3da7051b39,Unit 2 30 Greenock Road,Bishopton,1A Wok,PA7,5JN,5,Chinese
http://www.just-eat.co.uk/restaurants-1pizza1com-ls26/menu,55f14312c7447c3da7051b3a,160 Leeds Road,Leeds,1pizza1,LS26,0JH,4,Pizza
http://www.just-eat.co.uk/restaurants-1st-choice-pizza-ws11/menu,55f14312c7447c3da7051b3b,1 Walsall Road,Cannock,1st Choice Pizza,WS11,0HG,4,Pizza
http://www.just-eat.co.uk/restaurants-1stclasspizza-bs7/menu,55f14312c7447c3da7051b3c,388 Filton Avenue,Bristol,1st Class Pizza,BS7,0BE,4.5,Pizza
http://www.just-eat.co.uk/restaurants-1stclasspizza-bs7/menu,55f14312c7447c3da7051b3d,388 Filton Avenue,Bristol,1st Class Pizza,BS7,0BE,4.5,Pizza
http://www.just-eat.co.uk/restaurants-1stclasspizza-ng18/menu,55f14312c7447c3da7051b3e,70 Carter Lane,Mansfield,1st Class Pizza,NG18,3DH,4.5,Pizza
http://www.just-eat.co.uk/restaurants-1st-class-pizza-and-kebab-house-nottingham/menu,55f14312c7447c3da7051b3f,470 Vernon Road,Old Basford,1st Class Pizza & Kebab House,NG6,0AT,4,Pizza
http://www.just-eat.co.uk/restaurants-241-pizza-ol1/menu,55f14312c7447c3da7051b40,137 Yorkshire Street,Oldham,2 4 1 Pizza,OL1,3TH,5.5,Pizza
http://www.just-eat.co.uk/restaurants-2for1pizza-le10/menu,55f14312c7447c3da7051b41,19 Regent Street,Hinckley,2 for 1 Pizza Place,LE10,0AZ,5.5,Pizza
http://www.just-eat.co.uk/restaurants-2-spice/menu,55f14312c7447c3da7051b42,2 Station Approach,Upminster,2 Spice,RM14,2TH,5.5,Curry
http://www.just-eat.co.uk/restaurants-1treatu-b26/menu,55f14312c7447c3da7051b43,1776 Coventry Road,Birmingham,2 Treat U,B26,1PB,5.5,Pizza
